movieTitle,good,bad
暴亂夜,0,0
從好久以前就喜歡你,0,1
零日網路戰,1,0
聽見愛你的聲音,0,0
地獄哪有那麼HIGH,4,0
十年,16,1
我出去一下,4,0
如果這世界貓消失了,19,3
瘋狂邁爾士,1,0
推銷員之戀,2,0
變蟲人,0,1
攻佔羅浮宮,0,0
愛情天文學,2,2
賞金獵人,0,0
我的老爸喵星人,4,1
婚禮玩很大,0,0
BJ有喜,14,0
神鬼駭客:史諾登,0,0
怪奇孤兒院,24,7
蘇珊夫人尋婚計,3,0
玩命直播,8,0
終極飆靶,1,0
赴湯蹈火,10,0
暫時停止呼吸,18,6
屍速列車,202,72
薩利機長,40,2
使徒行者,12,0
終極舞班,0,1
特厲鬼屋,0,5
魔詭,0,2
鬼打牆,2,0
插旗攻城市,1,0
我的蛋男情人,7,7
S風暴,0,0
報告班長7,1,1
納粹龐克,0,0
代號:鐵鉻行動,1,0
非普通型男,1,0
殿下萬萬稅,2,0
藥命真相,0,1
明天別再來敲門,9,0
Lady's尖頭們,0,0
愛與黑暗的故事,3,1
白晝之雨,3,0
比海還深,20,0
吸血鬼腥靈診療,0,0
最後一次自由,0,0
NY單身日記,3,0
性愛巴弒,0,0
超自然研究會,0,0
遊戲王:,1,0
次元的黑暗面,6,0
時空叛逃者,2,0
大藝術家與我,0,0
天才柏金斯,4,0
甜蜜的哀傷,1,0
植物圖鑑,0,1
送子鳥,4,0
會計師,39,7
神隱任務2,1,4
奇異博士,58,10
怒火,17,1
地平線,11,0
地獄,34,9
碟仙2,0,0
獵愛大臨演,0,0
湄公河行動,1,3
時尚帝國合約的開始,0,0
起源:首爾車站,0,0
鬼才要畢業,0,0
為妳說的謊,6,2
巴黎走音天后,5,0
你的名字,172,31
愛是一隻貓,1,0
絕地7騎士,5,0
神廚東京壯遊記,4,0
鬼開門,0,1
幸運是我,1,0
列車上的女孩,2,0
完美陌生人,14,0
德布西森林,3,2
我的型男老闆,1,0
重返心原點,1,0
怒,32,5
美國心風暴,0,0
已經很想妳,3,0
笨賊樂盜家,0,0
